horizon,model,MSE(×1e-8),QLIKE,QLIKE vs HAR %,DM stat,DM p,n_oos
1,HAR,4.351247952863651,0.16457778251278457,0.0,,,1910
1,HARJ,4.210020285355551,0.16465750690297543,0.048441769583740246,0.04125257803367005,0.9670945381080125,1910
1,SHAR,3.9234461490081123,0.15568412955935312,-5.40392075870908,-3.625981088742754,0.0002878664223673333,1910
1,HARQ,4.161109559425644,0.16816693877381939,2.1808267229241673,0.5567099696749368,0.5777256041736267,1910
1,HARQ_F,11.680358183672798,0.40342404518962977,145.12667446973978,1.410249345067437,0.1584660699830911,1910
1,CHAR,4.300339292423945,0.16749346085653366,1.771611148985186,2.6009942765209697,0.009295400479645277,1910
5,HAR,4.369302643797758,0.15145846396854293,0.0,,,1906
5,HARJ,4.536509640873837,0.15218603380145293,0.48037581647542016,0.6890102038810904,0.4908168463157139,1906
5,SHAR,3.9740756357543843,0.14406689026673145,-4.880264534669165,-3.634423669272127,0.0002786027231742594,1906
5,HARQ,3.743701975712338,0.15509556871033223,2.401387579465153,0.3033488833410643,0.7616239965417606,1906
5,HARQ_F,9.130298697100368,0.24648275769421765,62.739507080575386,1.3657589700143022,0.1720146284589732,1906
5,CHAR,4.422513432991697,0.15518788544018716,2.46233942555949,2.7016257835619006,0.006900137512896531,1906
22,HAR,7.585741996491377,0.25325554651424215,0.0,,,1889
22,HARJ,7.6355081615295575,0.2536604948935653,0.15989714140391964,0.8260887045692742,0.4087537746857244,1889
22,SHAR,7.228330426761067,0.24906985434174236,-1.6527543937776668,-3.4402340854148603,0.0005812112583962747,1889
22,HARQ,8.944251008553715,0.2561099798818527,1.1270960920297224,0.2589602987456142,0.7956658728252493,1889
22,HARQ_F,8.689906099214657,0.3725115611133662,47.08920149648827,1.295812807521191,0.19503998451051618,1889
22,CHAR,7.724828954805266,0.26054315362976305,2.8775705866371126,2.669401035790452,0.007598666210444138,1889
